w_EXUS,w_GOLD,w_GOVH,w_HPRD,w_IWMO,w_IWVL,w_LGAP,w_MVOL,w_MWEQ,w_PRAM,w_SP5A,w_WEBN,annualised_return_p1,annualised_return_p5,annualised_return_p50,annualised_return_p95,annualised_return_p99,max_dd_depth_p2,max_dd_length_months_p2,mda_months_p2,shannon_entropy,volatility_10y,volatility_1y,volatility_3y,volatility_5y
0.1,0.1,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,0.007185,0.026039,0.077091,0.130352,0.155451,0.251349,72,11.238129,0.738206,0.031385,0.101949,0.0592,0.045352
0.1,0.2,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.015938,0.032734,0.082607,0.131051,0.152883,0.207005,72,7.698532,0.682417,0.029573,0.094373,0.056382,0.042869
0.1,0.2,0.2,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.018491,0.034124,0.075643,0.116431,0.129174,0.157924,60,5.25677,0.759263,0.025315,0.07955,0.045785,0.035417
0.1,0.2,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,-0.001334,0.028635,0.074142,0.118913,0.13618,0.192634,72,7.269888,0.759263,0.02738,0.08521,0.04914,0.038341
0.1,0.1,0.2,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.005817,0.030316,0.074787,0.119973,0.138838,0.198402,72,7.506487,0.759263,0.028258,0.086781,0.051983,0.040527
0.1,0.2,0.2,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.016481,0.033479,0.075099,0.119243,0.138454,0.151,60,4.726916,0.703474,0.025952,0.081595,0.047598,0.0372
0.1,0.2,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,-0.000751,0.01927,0.072813,0.122789,0.141717,0.290716,84,13.486733,0.682417,0.03141,0.096829,0.056837,0.045414
0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,0.005329,0.020272,0.073775,0.120227,0.137288,0.245993,84,10.493271,0.738206,0.029734,0.096121,0.05527,0.042982
0.1,0.2,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.014948,0.030923,0.075074,0.119264,0.137321,0.215378,60,7.611007,0.682417,0.027378,0.089681,0.050575,0.039088
0.1,0.0,0.2,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,-0.001702,0.018115,0.068614,0.121361,0.139099,0.272809,84,12.207682,0.682417,0.03166,0.099071,0.05721,0.04396
0.1,0.1,0.2,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.001004,0.02478,0.073905,0.125635,0.139492,0.217544,72,8.772395,0.682417,0.030388,0.092383,0.052777,0.040838
0.1,0.2,0.3,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.012462,0.033274,0.06951,0.110063,0.125341,0.139106,60,4.429228,0.682417,0.02369,0.071636,0.042015,0.032695
0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.016039,0.032152,0.068486,0.109256,0.123671,0.150097,60,5.145826,0.738206,0.023271,0.075922,0.045396,0.033483
0.1,0.1,0.3,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.008191,0.022459,0.065175,0.108853,0.120172,0.166339,72,6.848748,0.738206,0.025257,0.079512,0.045877,0.034519
0.1,0.2,0.3,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.020802,0.033492,0.07082,0.10845,0.121779,0.12801,48,3.796357,0.682417,0.022499,0.070644,0.041071,0.030973
0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.004918,0.025734,0.070061,0.113865,0.130518,0.222415,72,7.987224,0.682417,0.026862,0.084238,0.05028,0.039385
0.1,0.1,0.3,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.010627,0.027954,0.070644,0.113299,0.128029,0.192474,72,7.667545,0.738206,0.025861,0.08144,0.045441,0.035373
0.1,0.2,0.3,0.1,0.0,0.0,0.1,-0.0,0.0,0.0,0.0,0.2,0.01469,0.029249,0.070126,0.1099,0.128154,0.142629,60,4.179208,0.682417,0.02466,0.072458,0.041236,0.034099
0.1,0.0,0.3,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.000856,0.020343,0.065524,0.11182,0.128911,0.220163,72,9.132,0.682417,0.027687,0.085621,0.049052,0.038852
0.1,0.1,0.3,0.2,0.0,0.0,0.1,-0.0,0.0,0.0,0.0,0.2,0.013506,0.027975,0.066659,0.10843,0.122064,0.163021,72,5.860569,0.682417,0.024006,0.076636,0.044169,0.034315
0.1,0.1,0.3,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,-0.003885,0.016128,0.067834,0.113991,0.132027,0.282941,84,14.893497,0.66136,0.029811,0.089901,0.053291,0.042972
0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.002507,0.020758,0.068482,0.115721,0.133558,0.25373,72,10.529856,0.605571,0.028292,0.08663,0.049233,0.038136
0.1,0.0,0.3,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,0.002198,0.017459,0.06586,0.112384,0.131975,0.252702,84,11.003285,0.66136,0.028802,0.090126,0.052348,0.039758
0.1,0.1,0.3,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.011065,0.025451,0.068228,0.111051,0.126027,0.217444,72,7.767601,0.66136,0.026453,0.085637,0.048411,0.03801
0.1,0.0,0.3,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.000837,0.015976,0.067281,0.111238,0.129145,0.221174,84,9.799449,0.605571,0.028065,0.092095,0.051727,0.04008
0.0,0.2,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.013015,0.031902,0.083505,0.129514,0.151094,0.191445,72,6.262689,0.682417,0.02937,0.08778,0.0523,0.041131
