Data,IWDA + EMIM
08/2000,276243.31135921984
09/2000,265729.316880019
10/2000,272045.58546595427
11/2000,247639.2554301199
12/2000,234819.99849870178
01/2001,239650.8970578773
02/2001,220438.4520439455
03/2001,215621.61521839647
04/2001,230368.3208114539
05/2001,237984.0099964925
06/2001,230494.193973948
07/2001,220270.1382334722
08/2001,200438.54740649575
09/2001,183290.37078367948
10/2001,188628.88057849443
11/2001,202992.32161751215
12/2001,206217.7962133354
01/2002,204023.79102882626
02/2002,201902.08766946688
03/2002,209031.99110487202
04/2002,195560.78373383288
05/2002,187977.92151641386
06/2002,166133.4961842603
07/2002,155100.92639628495
08/2002,154575.7654439419
09/2002,137180.2460168581
10/2002,147228.51592215014
11/2002,154159.50777591698
12/2002,138837.4225837838
01/2003,130512.02798075441
02/2003,128632.22827951955
03/2003,126877.89942167644
04/2003,135193.15131186057
05/2003,134538.24963147246
06/2003,141580.2572083597
07/2003,145829.80710089774
08/2003,154292.8704787041
09/2003,145563.41564566985
10/2003,154584.9047950395
11/2003,152054.3620555535
12/2003,153445.46800453626
01/2004,159004.6381145644
02/2004,161224.575293579
03/2004,162696.4741969509
04/2004,163059.1882693358
05/2004,161158.95909201252
06/2004,165049.18716034509
07/2004,161198.73073141737
08/2004,160944.69461268227
09/2004,160051.19636439072
10/2004,159745.2614715921
11/2004,161080.0621699059
12/2004,163226.59221661458
01/2005,166724.4346094181
02/2005,169125.54604054996
03/2005,169590.79123984626
04/2005,165985.1581740583
05/2005,177510.46337936886
06/2005,182585.29855443377
07/2005,188947.67694748848
08/2005,188732.7197130765
09/2005,196143.27275536236
10/2005,191687.06645171603
11/2005,202348.84286781895
12/2005,206340.89233732977
01/2006,209844.75161785993
02/2006,213820.04232276432
03/2006,214387.4300559759
04/2006,213267.13908941078
05/2006,200683.7265887335
06/2006,203070.95526149156
07/2006,203474.0085131922
08/2006,207391.08851789078
09/2006,213030.14670468695
10/2006,220222.71159759254
11/2006,217001.14334248388
12/2006,221917.35707023783
01/2007,228281.15957962614
02/2007,222675.5197086388
03/2007,224929.891951555
04/2007,229895.50613904092
05/2007,239007.35457794406
06/2007,236250.63246418696
07/2007,227613.98401736742
08/2007,227474.5420201774
09/2007,230326.10843651294
10/2007,232986.85984969817
11/2007,218709.79025756393
12/2007,216474.73922129313
01/2008,197928.52228856203
02/2008,192929.54215943886
03/2008,183285.78465006946
04/2008,196295.58409302362
05/2008,199699.98647548302
06/2008,180788.14015367988
07/2008,178099.26392086278
08/2008,186036.8808918445
09/2008,168860.68747794413
10/2008,153428.49461673645
11/2008,143835.52119359816
12/2008,135756.7413455361
01/2009,134504.58639078788
02/2009,122379.23275141064
03/2009,125041.15590260187
04/2009,139413.8969035095
05/2009,143169.64672565472
06/2009,142160.7332238837
07/2009,154157.6884869014
08/2009,159010.34673271037
09/2009,161158.92398061135
10/2009,156612.55217144382
11/2009,160592.44059568897
12/2009,170477.8005948942
01/2010,168580.70975258335
02/2010,175946.0283422583
03/2010,188103.86757605782
04/2010,190447.44751449465
05/2010,186309.2059319428
06/2010,180449.20951772705
07/2010,183743.59898204065
08/2010,181738.0444547403
09/2010,184592.43709368943
10/2010,188585.30674148264
11/2010,196707.82303860167
12/2010,205418.23596693214
01/2011,204996.22919058465
02/2011,209995.86482894013
03/2011,202465.93818640753
04/2011,201792.17252673823
