Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
11/1999,73426.66160245618
12/1999,83185.24963169423
01/2000,85860.4465529568
02/2000,87683.98721432983
03/2000,89596.89006594787
04/2000,85281.69219592736
05/2000,79840.17020316028
06/2000,80464.26473419841
07/2000,78910.68899707886
08/2000,82299.30855602966
09/2000,76321.59402167713
10/2000,73714.7742663657
11/2000,65201.323307231694
12/2000,62319.01212251478
01/2001,70991.89482406114
02/2001,65751.54134948098
03/2001,62086.2664402174
04/2001,64831.07818837314
05/2001,68668.54259433963
06/2001,67258.99443396227
07/2001,61029.714448886356
08/2001,57768.59128630706
09/2001,48971.57590625343
10/2001,52522.63676177837
11/2001,58944.9145650708
12/2001,64237.320980369914
01/2002,67767.53956234804
02/2002,68769.39241706161
03/2002,72295.9107977992
04/2002,70471.03627886323
05/2002,66548.28513902206
06/2002,57927.15771428571
07/2002,54571.813983440676
08/2002,55130.928668768436
09/2002,49048.11036511156
10/2002,52209.552189781025
11/2002,55449.172801450586
12/2002,50744.265490607424
01/2003,48986.51671597634
02/2003,47814.67996661102
03/2003,45977.05173015145
04/2003,49010.689300152735
05/2003,49457.95883945187
06/2003,54083.862641113155
07/2003,58024.48208163987
08/2003,64134.715091058846
09/2003,60585.097476828014
10/2003,65910.4418688694
11/2003,64651.03101550775
12/2003,65846.38646080761
01/2004,69539.37034883721
02/2004,72548.0375261717
03/2004,74646.38491492148
04/2004,70132.73225077425
05/2004,67336.74953271028
06/2004,67883.63486631017
07/2004,67325.81774233741
08/2004,69727.08199157791
09/2004,71983.09836409059
10/2004,71809.48786998508
11/2004,75167.80571643476
12/2004,76900.85052492475
01/2005,80612.33855005754
02/2005,86222.35342837746
03/2005,82362.27398950941
04/2005,80210.3630470016
05/2005,87249.7969183359
06/2005,92045.60621898777
07/2005,98550.4151327214
08/2005,98581.58971962618
09/2005,109170.12047832587
10/2005,102198.7053979872
11/2005,113048.74366556207
12/2005,119461.2899720268
01/2006,129357.54603069811
02/2006,131878.22976
03/2006,130542.98793787179
04/2006,135028.48528356064
05/2006,117799.22098228162
06/2006,118982.63663966017
07/2006,120221.7221116942
08/2006,122538.69314450238
09/2006,125433.02488151657
10/2006,131024.81441398866
11/2006,135407.57809090908
12/2006,141840.0023234624
01/2007,142748.52950440015
02/2007,139160.76301566875
03/2007,143572.44742453817
04/2007,147231.63850055123
05/2007,156166.98995019696
06/2007,162924.02136986298
07/2007,169075.8850952068
08/2007,165562.23992703392
09/2007,177713.7791099513
10/2007,193881.75536789637
11/2007,176314.51457218346
12/2007,177428.4035459547
01/2008,153781.84095494277
02/2008,161954.01318652334
03/2008,147140.7632178092
04/2008,161890.4228571428
05/2008,165281.1658885736
06/2008,146398.52808931738
07/2008,142373.99534943307
08/2008,138839.24143875123
09/2008,118016.88560441863
