Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
04/2006,29669.205850018905
05/2006,27937.570401989167
06/2006,28205.56781398418
07/2006,28613.060229262734
08/2006,29336.327792189157
09/2006,30190.874132964145
10/2006,31256.938028060817
11/2006,31061.708877110515
12/2006,32147.65306602459
01/2007,33128.43634693699
02/2007,32695.66402020048
03/2007,33270.36870314757
04/2007,34410.00861141917
05/2007,35953.48320526856
06/2007,35777.24951778873
07/2007,34125.41379239385
08/2007,33993.283943657225
09/2007,34289.47868861812
10/2007,34604.335377009724
11/2007,32084.77042306149
12/2007,31567.422359298114
01/2008,28660.396896778257
02/2008,28142.575336058948
03/2008,26766.443059061632
04/2008,28565.42483173064
05/2008,29069.906713029737
06/2008,26021.974297141645
07/2008,25481.12930596885
08/2008,26602.21415549908
09/2008,23311.79706576743
10/2008,20679.923711635918
11/2008,19584.245696923797
12/2008,19020.186990523624
01/2009,18610.666219172377
02/2009,16511.955430103044
03/2009,17052.21343874527
04/2009,19990.31384337578
05/2009,21218.871860035044
06/2009,21040.5635677284
07/2009,23017.52731928575
08/2009,24575.04156738105
09/2009,25021.556653875847
10/2009,23882.566675631075
11/2009,24249.884270822735
12/2009,25925.06579722988
01/2010,25661.573226162374
02/2010,26573.518388520748
03/2010,28596.07479594989
04/2010,28549.913740523672
05/2010,27667.19775413488
06/2010,26523.444907474764
07/2010,27411.00243529216
08/2010,26884.98428075977
09/2010,27587.911308666244
10/2010,28336.062094293276
11/2010,28763.516630209095
12/2010,30351.385624213097
01/2011,31100.566027424942
02/2011,31887.587689345422
03/2011,30452.44381244893
04/2011,30528.063590258917
05/2011,30588.096857050004
06/2011,30004.087196679757
07/2011,29378.44796517525
08/2011,25846.875188050053
09/2011,25136.58745219716
10/2011,26773.47411403139
11/2011,26921.651347882635
12/2011,27718.738139550136
01/2012,29000.995465680986
02/2012,29938.295839883114
03/2012,30119.88796879197
04/2012,29304.542845577267
05/2012,27713.52087317338
06/2012,29019.179755651796
07/2012,29434.957493560112
08/2012,29571.62695181781
09/2012,29674.501478360842
10/2012,29745.37645530779
11/2012,30085.19654382534
12/2012,31064.149838536334
01/2013,32052.29169576559
02/2013,32608.75062566442
03/2013,34004.147021095676
04/2013,34809.68626919718
05/2013,35640.45819544551
06/2013,34337.94275722959
07/2013,36049.92963395815
08/2013,35524.91772680813
09/2013,36759.81460309593
10/2013,37944.18462217737
11/2013,39016.74166068158
12/2013,39205.37199363774
01/2014,38848.29731646392
02/2014,39845.52288137102
03/2014,40252.45548250722
04/2014,40547.51602201047
05/2014,41962.118683578025
06/2014,42793.500287842035
07/2014,43347.93690129232
08/2014,44182.56083792966
09/2014,45048.08840537393
10/2014,44632.340935155975
11/2014,45678.466876159626
12/2014,46307.76648378583
01/2015,48692.020315301466
02/2015,52223.55732110447
03/2015,53849.55532747358
04/2015,53289.532341084276
05/2015,55139.6118712043
06/2015,52574.065690504096
07/2015,53855.558903594836
08/2015,48911.70768970904
09/2015,46355.42584055917
10/2015,50994.702135941865
11/2015,52151.4610847283
12/2015,49949.32093899633
01/2016,45590.70249757908
02/2016,45175.26901326697
03/2016,45894.13737704891
04/2016,47342.849370829485
05/2016,48264.989764639744
06/2016,46589.987817711895
07/2016,49176.65144932761
08/2016,50028.73833055648
09/2016,50037.181529356894
10/2016,51191.72706305696
11/2016,53645.67617191391
12/2016,55785.162154417354
01/2017,55935.51139202706
02/2017,57882.36444001117
03/2017,57600.2583358052
04/2017,56767.33510509011
05/2017,55782.53321809659
06/2017,55455.916315794755
07/2017,55565.79971916647
08/2017,54927.0741211479
09/2017,56849.943996437476
10/2017,59101.18597096721
11/2017,59556.45026322545
12/2017,59892.23619439954
01/2018,60713.441223156915
02/2018,59640.0978473682
03/2018,57783.34427637703
04/2018,60144.854336847144
05/2018,60565.4551083824
06/2018,59545.108723097845
07/2018,60772.82384909974
08/2018,60633.99154851742
09/2018,62106.93882137092
10/2018,58918.64989079106
11/2018,58933.03896201061
12/2018,53993.67640434422
01/2019,58464.51550902754
02/2019,59363.863489250136
03/2019,59944.61621167395
04/2019,61092.71969660169
05/2019,56438.85624466856
06/2019,59093.620599307644
07/2019,60099.396598383406
08/2019,58205.768506982786
09/2019,61801.70296971088
10/2019,62679.6641965862
11/2019,64864.816510721714
12/2019,65482.71097015772
01/2020,64251.36057291464
02/2020,58649.95737260672
03/2020,49151.945215917236
04/2020,53060.21336833668
05/2020,53363.831562626976
06/2020,53419.07650838873
07/2020,49495.85960054248
08/2020,51795.59697415357
09/2020,51116.82045496192
10/2020,49389.69329215306
11/2020,56374.83781534652
12/2020,57569.49033989063
01/2021,58943.325688861885
02/2021,62616.10513080722
03/2021,68397.33776027818
04/2021,67043.57154209308
05/2021,68514.10323569206
06/2021,69234.8966446976
07/2021,68778.35408884227
08/2021,69862.02872759827
09/2021,70374.10471439023
10/2021,70407.12215945704
11/2021,69767.06641809252
12/2021,74871.84342000075
01/2022,75989.8952279991
02/2022,74566.10719186731
03/2022,75429.09008796084
04/2022,74764.7654536427
05/2022,76260.19985774795
06/2022,70789.30152823227
07/2022,74227.9952103116
08/2022,72858.91836591829
09/2022,67475.74732039843
10/2022,71749.43860164563
11/2022,74860.04225037774
12/2022,71643.08642958867
01/2023,75530.40019304575
02/2023,75733.24188857526
03/2023,74158.79894224595
04/2023,74225.3914671874
05/2023,74312.99443377109
06/2023,77865.63632893589
07/2023,79823.24661003074
08/2023,78845.42330263364
09/2023,79562.30901973642
10/2023,75550.21043735112
11/2023,79255.43723897383
12/2023,82506.45199228288
01/2024,84507.35425947268
02/2024,85629.7996037803
03/2024,90094.40472023602
04/2024,87304.9534824194
05/2024,89299.79281400488
06/2024,88405.66748094527
07/2024,91156.18747320816
08/2024,89662.12061843283
09/2024,89723.85272979262
10/2024,89361.6583972003
11/2024,93323.63812377326
12/2024,92226.69319046855
01/2025,95997.40983392864
02/2025,98434.97974053444
03/2025,94564.39553369256
04/2025,90761.94284522985
05/2025,95020.9720954343
06/2025,95424.15665151858
07/2025,97024.50018097619
08/2025,101222.3307382559
09/2025,103903.7010789301
10/2025,108915.17128219228
11/2025,111548.65204785398
12/2025,113661.75980288377
01/2026,119943.14852918583
