Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
06/2013,53508.90542392138
07/2013,53011.60476464715
08/2013,51090.04781771298
09/2013,52635.6439235623
10/2013,53900.73476160575
11/2013,51969.961736588855
12/2013,51454.64353410686
01/2014,52444.09320008176
02/2014,53318.289778679486
03/2014,53508.59618180337
04/2014,54828.22639237866
05/2014,57518.320521409
06/2014,58106.53119668062
07/2014,59657.82764273238
08/2014,61524.047787657284
09/2014,60185.796457112
10/2014,64719.67402002967
11/2014,65609.95172580352
12/2014,67904.39150011401
01/2015,76414.28604881102
02/2015,76449.44796467104
03/2015,79696.22388781194
04/2015,75227.03292780406
05/2015,75803.18995679972
06/2015,71695.67097794205
07/2015,74810.62481398645
08/2015,69419.8773607501
09/2015,70546.95323226394
10/2015,75369.96006435918
11/2015,77122.11673831622
12/2015,75681.30845101264
01/2016,72715.14153073625
02/2016,72715.14153073625
03/2016,75916.25236549
04/2016,75461.04853119014
05/2016,77604.91175079586
06/2016,80585.76266572709
07/2016,84065.86939892266
08/2016,82201.00207775879
09/2016,80673.86663365607
10/2016,77986.69561182153
11/2016,78397.84746215687
12/2016,81143.75446261076
01/2017,79616.61901850806
02/2017,83493.19360738415
03/2017,81687.06226483961
04/2017,81114.3864733011
05/2017,79220.15116282756
06/2017,78706.2113499084
07/2017,77516.80778286686
08/2017,76988.18397529284
09/2017,77164.39191115084
10/2017,77927.95963320219
11/2017,78236.32352095371
12/2017,78706.2113499084
01/2018,75842.83239221582
02/2018,72274.62169109123
03/2018,73317.18531158443
04/2018,76092.460301348
05/2018,80042.45486349823
06/2018,81143.75446261076
07/2018,81598.95829691061
08/2018,82803.04585860697
09/2018,81217.17443588492
10/2018,80115.8748367724
11/2018,83126.09374101332
12/2018,77693.01571872486
01/2019,85798.58076819303
02/2019,86297.83658645739
03/2019,90570.87903101397
04/2019,89513.63141586595
05/2019,89719.20734103362
06/2019,89131.84755484028
07/2019,91437.23471564916
08/2019,94139.08973213856
09/2019,97281.46458827295
10/2019,97398.93654551162
11/2019,97310.83257758261
12/2019,96018.64104795725
01/2020,98030.34831566947
02/2020,90717.71897756231
03/2020,70101.39048217586
04/2020,75167.36863809347
05/2020,74139.48901225512
06/2020,75314.2085846418
07/2020,73464.02525813277
08/2020,74462.53689466146
09/2020,73552.12922606178
10/2020,71525.73796369472
11/2020,78823.68330714705
12/2020,79734.09097574675
01/2021,79616.61901850806
02/2021,82612.15392809412
03/2021,87707.50007332141
04/2021,91084.81884393316
05/2021,91246.34278513632
06/2021,94770.5015022964
07/2021,98368.08019273065
08/2021,100071.42357269136
09/2021,95959.90506933791
10/2021,101818.81893661656
11/2021,102288.70676557123
12/2021,107618.99682527584
01/2022,102832.01456780007
02/2022,100071.42357269136
03/2022,105475.13360567011
04/2022,105122.71773395411
05/2022,98984.80796823365
06/2022,92567.90230407135
07/2022,102420.86271746474
08/2022,97061.20466845045
09/2022,87193.56026040224
10/2022,88970.32361363711
11/2022,91099.50283858799
12/2022,85387.4289178577
01/2023,91393.18273168466
02/2023,89425.52744793694
03/2023,84374.23328667416
04/2023,84550.44122253216
