Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
08/2011,37583.574987867614
09/2011,38367.46987769003
10/2011,39448.48054498678
11/2011,41145.24113692659
12/2011,43310.8286078821
01/2012,43133.156672188255
02/2012,44181.265796895386
03/2012,45890.78573213219
04/2012,46799.67037366155
05/2012,47579.53043758998
06/2012,48805.53626779786
07/2012,50970.05515906898
08/2012,50318.703050276505
09/2012,50174.604307412534
10/2012,48854.48066073939
11/2012,49443.17823507643
12/2012,48455.693722321164
01/2013,49142.8003855659
02/2013,51502.04144273636
03/2013,54977.847693745505
04/2013,55518.12035207508
05/2013,55080.4079001963
06/2013,55031.235860430155
07/2013,56019.748848871335
08/2013,54551.231630193775
09/2013,56721.2862153895
10/2013,57810.18109707306
11/2013,59216.14811179279
12/2013,60106.070009218536
01/2014,59637.46944604807
02/2014,61693.699489325394
03/2014,60052.72203506483
04/2014,59095.21138988333
05/2014,62306.719110649414
06/2014,63391.805434126974
07/2014,63406.990010716334
08/2014,66347.44048136195
09/2014,68146.26566823972
10/2014,69050.50195600513
11/2014,71471.26326687985
12/2014,72746.45183845946
01/2015,77982.5216612653
02/2015,82495.55974056554
03/2015,85425.6994138407
04/2015,82215.61347206985
05/2015,85686.77240052698
06/2015,82648.32208262179
07/2015,86988.45679162715
08/2015,79440.82362558326
09/2015,76610.77502629613
10/2015,83296.07781663885
11/2015,86866.03928247774
12/2015,84422.09624307306
01/2016,80555.67737962195
02/2016,79746.9691701333
03/2016,80461.49896260643
04/2016,80478.04817173608
05/2016,83938.56353873541
06/2016,86647.10531110232
07/2016,88953.87577387055
08/2016,86358.25265680344
09/2016,86745.88395111886
10/2016,85800.89501888081
11/2016,88704.72722004865
12/2016,90845.36683081771
01/2017,92225.4347875111
02/2017,95822.91364726861
03/2017,96997.24499612294
04/2017,96665.00615198606
05/2017,98134.42600432559
06/2017,96722.08796624737
07/2017,97035.72244226992
08/2017,97627.58421794257
09/2017,100284.67651896211
10/2017,106372.53721323438
11/2017,106426.0570288827
12/2017,105467.00533495439
01/2018,109723.7584667669
02/2018,110093.54030294853
03/2018,105575.69633548359
04/2018,108796.43859508666
05/2018,115520.49704715428
06/2018,115514.47031512232
07/2018,117297.87708655762
08/2018,123483.52597986769
09/2018,125486.56041392687
10/2018,115671.83727288645
11/2018,116900.28334992455
12/2018,107416.65686386201
01/2019,113894.1616231165
02/2019,118824.70072249848
03/2019,123853.22089450821
04/2019,128027.51616975831
05/2019,124125.58133720332
06/2019,129320.37357468609
07/2019,133304.5706510445
08/2019,134783.6049444127
09/2019,135497.10011199734
10/2019,133915.50953273356
11/2019,139553.29056273162
12/2019,139781.17933859967
01/2020,145822.28615179274
02/2020,136281.93221395733
03/2020,122590.87959078267
04/2020,136141.53635902592
05/2020,140613.90013906377
06/2020,146302.80254590293
07/2020,147505.23289763188
08/2020,157674.14303842554
09/2020,155620.1403574481
10/2020,150226.90554547423
11/2020,161171.10329559873
12/2020,164132.92908169172
01/2021,167323.13777323437
02/2021,166462.65516660822
03/2021,172512.6754216152
04/2021,178793.13852508843
05/2021,175188.04677599669
06/2021,181907.33767723542
07/2021,184792.8824086311
08/2021,191587.99056204464
09/2021,188540.404089283
10/2021,201578.25712926156
11/2021,200253.07812689777
12/2021,203864.009566765
01/2022,190960.0783076387
02/2022,186120.77937370364
03/2022,196119.27939655405
04/2022,183130.88802646735
05/2022,179883.72084783742
06/2022,171620.64708335645
07/2022,182455.6740165747
08/2022,181308.3755383979
09/2022,172351.42393822354
10/2022,186342.34229005894
11/2022,187528.07978884564
12/2022,177966.19413282245
01/2023,177106.11499705262
02/2023,174839.98750573583
03/2023,172223.16858579847
04/2023,175472.28854576586
05/2023,171616.48216182104
06/2023,179601.2767656816
07/2023,181340.35751691472
08/2023,181573.51253261132
09/2023,178621.33883787793
10/2023,175009.04035087425
11/2023,185830.19739765144
12/2023,191970.3783244272
01/2024,206677.50072927412
02/2024,225574.62498932262
03/2024,235675.96035099923
04/2024,228043.47627250242
05/2024,237975.14087677278
06/2024,249918.57609359152
07/2024,244179.62757034483
08/2024,244256.52468279775
09/2024,246101.4154629106
10/2024,250232.99007100868
11/2024,268429.708467694
12/2024,265746.8829986561
01/2025,278396.28295849625
02/2025,278724.3885994026
03/2025,253014.32145685647
04/2025,248540.21564331243
05/2025,267227.0689444756
06/2025,267960.1692211913
07/2025,272198.8443674365
08/2025,271981.14379340946
