Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
06/1985,26421.71148196581
07/1985,25906.88149587848
08/1985,25459.547138288064
09/1985,25292.40943832538
10/1985,23693.374261566758
11/1985,23251.92124454298
12/1985,22824.636657297822
01/1986,23962.686218953586
02/1986,22211.359014664056
03/1986,21975.06539767352
04/1986,22205.566156247995
05/1986,21660.582443123083
06/1986,21975.669928805975
07/1986,21995.896860886387
08/1986,22962.36164440554
09/1986,25066.436618882442
10/1986,23491.23678584888
11/1986,23054.676702353696
12/1986,22811.849661754204
01/1987,21972.868553637498
02/1987,21876.44139927269
03/1987,22658.99777959967
04/1987,24080.008802497723
05/1987,23673.606823534796
06/1987,23903.516620468523
07/1987,25076.419944572168
08/1987,24777.00813219741
09/1987,24458.964611818326
10/1987,24776.544643412184
11/1987,24459.433097532637
12/1987,23430.15290558374
01/1988,22291.873546247618
02/1988,21343.389995810863
03/1988,22577.967622415053
04/1988,22054.624459072853
05/1988,22596.09171556075
06/1988,22462.37649173773
07/1988,23609.467260561592
08/1988,23640.287395941265
09/1988,21766.346424283187
10/1988,22069.439652358797
11/1988,21720.74820818292
12/1988,21103.982861267275
01/1989,21077.36682161679
02/1989,20960.48608074396
03/1989,20893.940701551313
04/1989,20700.704023503287
05/1989,20689.676734142093
06/1989,21715.26962914369
07/1989,20507.18556580166
08/1989,20344.31577270645
09/1989,21041.373661415848
10/1989,20735.912916502868
11/1989,22228.482882156168
12/1989,20940.817162226725
01/1990,21039.906373713096
02/1990,20394.195378879176
03/1990,18756.62164649222
04/1990,18479.21853474444
05/1990,17945.629485700672
06/1990,17527.307453833586
07/1990,17968.547171358474
08/1990,17891.00983983963
09/1990,18875.252513728028
10/1990,17025.670166359174
11/1990,16924.312751204703
12/1990,17398.15190534282
01/1991,16326.267678710929
02/1991,15910.053066770113
03/1991,16980.720978249115
04/1991,17991.55921783875
05/1991,18367.343223405816
06/1991,19472.728769659716
