Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
05/2007,275542.31022133294
06/2007,280496.0375464543
07/2007,277737.81489727716
08/2007,272865.43791703007
09/2007,302134.7437586275
10/2007,319610.91775283706
11/2007,292005.37878420117
12/2007,286175.75641683536
01/2008,254565.20154207278
02/2008,254053.513782324
03/2008,231742.57480575572
04/2008,254842.17835888398
05/2008,259099.33364067719
06/2008,235892.05756873032
07/2008,226222.44973872736
08/2008,227702.53008638264
09/2008,194478.53626881304
10/2008,163506.77230679468
11/2008,154908.83349081513
12/2008,149839.1407664579
01/2009,147658.800835936
02/2009,142210.8519292786
03/2009,153219.22098262407
04/2009,173820.1976441573
05/2009,185647.4234750692
06/2009,190332.32464631333
07/2009,212411.95928041657
08/2009,217795.76058985805
09/2009,234017.94426973924
10/2009,232687.62122556943
11/2009,234664.09991775843
12/2009,250142.93794528546
01/2010,240501.37717946546
02/2010,255252.83242674058
03/2010,275630.16070779215
04/2010,278633.58622426604
05/2010,259806.32482141565
06/2010,259630.09437988317
07/2010,269629.09715441015
08/2010,271619.41862554895
09/2010,285058.3064871484
10/2010,288687.30227962736
11/2010,301339.2820686634
12/2010,315298.86919954343
01/2011,304162.7123251858
02/2011,305809.2980065823
03/2011,304736.25098010787
04/2011,306194.80332702585
05/2011,305544.76975660207
06/2011,298830.9428408064
07/2011,301824.51520497975
08/2011,281634.24086012563
09/2011,256699.9442542302
10/2011,284880.1739798397
11/2011,276400.0247386944
12/2011,283974.50140956923
01/2012,305787.94204409106
02/2012,313003.07543554076
03/2012,306097.33234100684
04/2012,314161.183951772
05/2012,295067.34538340295
06/2012,308839.85187354323
07/2012,337549.9864319203
08/2012,329541.81452791166
09/2012,333773.05923651584
10/2012,338152.44335096923
11/2012,344014.2216935606
12/2012,346919.7410200103
01/2013,354973.0621289745
02/2013,374967.42821828433
03/2013,382551.7701462928
04/2013,389988.0985441504
05/2013,356798.05705378874
06/2013,333669.5519217838
07/2013,339469.32661981264
08/2013,340245.8070780635
09/2013,356550.305944219
10/2013,368757.39910866774
11/2013,359265.81866141234
12/2013,350138.27477365395
01/2014,337478.0444307321
02/2014,351591.8061791954
03/2014,360574.9916790933
04/2014,367250.7514870273
05/2014,381070.3617212127
06/2014,379711.95145987265
07/2014,402079.21077394346
08/2014,409062.3627899549
09/2014,387848.0498231112
10/2014,408322.8882791839
11/2014,394867.6026456498
12/2014,395852.3992689152
01/2015,425195.7050553468
02/2015,446850.4815135487
03/2015,460701.58837163943
04/2015,459392.9190369725
05/2015,457884.96049754426
06/2015,432024.65226021217
07/2015,435697.04636886815
08/2015,375928.43081216817
09/2015,362577.2865292802
10/2015,395016.7660841149
11/2015,406896.0017186997
12/2015,404037.9349673074
01/2016,367417.3101111502
02/2016,367952.9968603993
03/2016,393347.5625572828
04/2016,400833.26661209285
05/2016,400890.82405062194
06/2016,406014.7120545094
07/2016,433785.6934725183
08/2016,426714.7709119268
09/2016,436922.3454556375
10/2016,436143.22048279346
11/2016,448556.9818712878
12/2016,450051.57180919434
01/2017,466161.9584972198
02/2017,487700.4008162365
03/2017,495906.4393309358
04/2017,487374.40183134767
05/2017,470120.1545887239
06/2017,471738.9774391528
07/2017,478799.33228982385
08/2017,476060.9226902996
09/2017,472695.5586068176
10/2017,486222.06042223744
11/2017,485816.7238472262
12/2017,497944.2192955446
01/2018,497874.9937258011
02/2018,491119.5904238485
03/2018,466593.67664121935
04/2018,490763.0171996871
05/2018,508414.71290914476
06/2018,501880.17670642294
07/2018,508221.4337521174
08/2018,502738.8198274401
09/2018,502655.55287781527
10/2018,469101.3940485764
11/2018,480991.2351856612
12/2018,467837.66681409004
01/2019,499857.0161406643
02/2019,521953.6413668788
03/2019,535161.9743287707
04/2019,545143.1276878541
05/2019,533263.7578545398
06/2019,555586.7869298618
07/2019,562919.9911840663
08/2019,535990.2972655711
09/2019,550447.9888662839
10/2019,553536.0818268955
11/2019,563353.3193116717
12/2019,564377.373521603
01/2020,564184.1110557781
02/2020,524345.5887917031
03/2020,418998.8583446731
04/2020,471563.8390718037
05/2020,458706.63999578083
06/2020,492710.76387775445
07/2020,477589.0072475032
08/2020,501272.8870138075
09/2020,480569.01178678905
10/2020,478256.6578500122
11/2020,535637.4355050022
12/2020,550532.6795126061
01/2021,560555.9674285199
02/2021,577393.949465313
03/2021,602762.0480381782
04/2021,609632.469957334
05/2021,616606.0747386569
06/2021,623007.1910201194
07/2021,613352.4585388941
08/2021,620505.8168301363
09/2021,611308.5721608483
10/2021,627478.5277431895
11/2021,602517.0249203509
12/2021,624386.8283962792
01/2022,598376.3594669912
02/2022,612849.4873108534
03/2022,661048.4181396937
04/2022,655065.5930921827
05/2022,641912.9772080161
06/2022,606944.0564499369
07/2022,641913.1482256898
08/2022,643197.7713185138
09/2022,589660.3381406445
10/2022,582620.6609552276
11/2022,638292.799262892
12/2022,623613.0865210684
01/2023,666953.1291784269
02/2023,636373.013552233
03/2023,624828.8487224631
04/2023,619933.8838823846
05/2023,599259.3612267354
06/2023,614105.4240716902
07/2023,631803.000801875
08/2023,603289.2175778726
09/2023,599953.1067195862
10/2023,571837.2847636896
11/2023,594088.6617044489
12/2023,640706.5384117385
01/2024,630543.4425771789
02/2024,634455.9280530792
03/2024,643555.433419742
04/2024,641300.9843608027
05/2024,655054.1027666287
06/2024,665988.7132160278
07/2024,669112.3532226247
08/2024,684245.0474332472
09/2024,727780.8728870868
10/2024,701578.3631044764
11/2024,743062.829163
12/2024,712740.4481512002
01/2025,737982.1512546014
02/2025,726762.1571373554
