Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
01/2013,58036.84724723246
02/2013,59915.711722141816
03/2013,62584.2826552128
04/2013,63098.56308139533
05/2013,63298.11783792095
06/2013,61125.97899082567
07/2013,63130.639186440676
08/2013,62028.78936154137
09/2013,63952.03232876711
10/2013,65873.34180778534
11/2013,66981.41234295789
12/2013,67270.44772677832
01/2014,65908.8402189997
02/2014,67639.39972489682
03/2014,68099.40809399476
04/2014,68475.77337184115
05/2014,71241.54571911514
06/2014,72342.65302386878
07/2014,72977.89456611106
08/2014,75700.62638762509
09/2014,76798.10449018517
10/2014,77720.7588789524
11/2014,79313.70684931506
12/2014,80008.27887323943
01/2015,84600.69277310921
02/2015,89865.91601423486
03/2015,92484.87398457102
04/2015,91342.36023183234
05/2015,93333.11250683681
06/2015,89392.61043882382
07/2015,92027.36017142334
08/2015,83859.74482389654
09/2015,80945.38912791215
10/2015,88794.04950530997
11/2015,91747.8993666698
12/2015,87582.02198952877
01/2016,82071.73499999999
02/2016,81792.51331741366
03/2016,84072.79810276678
04/2016,85228.67940015782
05/2016,87314.98240989778
06/2016,87239.08324626191
07/2016,90934.92563664177
08/2016,91129.26101329499
09/2016,91488.95287160647
10/2016,91724.96864608074
11/2016,95171.04930888575
12/2016,98132.06411156435
01/2017,98829.91665271965
02/2017,103161.92307256769
03/2017,103574.01382471235
04/2017,102934.90655077767
05/2017,102568.2199982176
06/2017,101351.97570977917
07/2017,101421.80460475823
08/2017,101015.83864693444
09/2017,103170.9366423852
10/2017,106857.69135590307
11/2017,107034.53553886402
12/2017,107489.88993579587
01/2018,109345.9191137513
02/2018,106880.92213852954
03/2018,103748.1135135135
04/2018,106897.01948836823
05/2018,110602.1685614155
06/2018,110434.3170355121
07/2018,113044.23297546012
08/2018,114814.60441163849
09/2018,116108.75774015204
10/2018,109882.17959003357
11/2018,111138.74853420195
12/2018,102534.31210480348
01/2019,110295.89012883007
02/2019,114010.58913805186
03/2019,117376.2964485981
04/2019,121585.67361383491
05/2019,115162.40742534302
06/2019,120286.72233743408
07/2019,123158.90476190476
08/2019,121547.08200434942
09/2019,125836.58681237946
10/2019,126240.72393760085
11/2019,131402.72179930794
12/2019,133032.1305323126
01/2020,133763.15325732896
02/2020,123851.38524186934
03/2020,107411.50859802846
04/2020,119847.43482898123
05/2020,122210.7547952586
06/2020,125470.3200214324
07/2020,124906.02341323427
08/2020,131576.37678391958
09/2020,129906.79837717798
10/2020,126888.96395965121
11/2020,139220.5121368948
12/2020,142279.5919484964
01/2021,143242.737804878
02/2021,146784.83404009568
03/2021,155875.91119829417
04/2021,157946.46972355567
05/2021,158924.11762970244
06/2021,165367.14431167953
07/2021,166456.44759902442
08/2021,171496.66584417774
09/2021,168108.04575524654
10/2021,175730.31962215537
11/2021,175809.64023585315
12/2021,183495.84840190707
01/2022,177177.5512728576
02/2022,171991.6900616126
03/2022,177370.52867309246
04/2022,171928.3612713472
05/2022,169470.16852422289
06/2022,160127.0077211899
07/2022,174541.56795450085
08/2022,171513.96101999996
09/2022,159178.31109971274
